Pi Error TotalCount NumWorkers Duration
250000000 1 16818 0,000024012530621 
250000000 1 18264 0,000002017578632 
250000000 1 18420 0,000077020039347 
250000000 1 18514 0,000029814944372 
250000000 1 18765 0,000015534289638 
250000000 1 18780 0,000015955470782 
250000000 1 19345 0,000047715157986 
250000000 1 19377 0,000020102673125 
250000000 1 21349 0,000065535418654 
250000000 1 21491 0,000016021679238 
250000000 1 21585 0,000034576860269 
250000000 1 21645 0,000012178030199 
250000000 1 22082 0,000024798380566 
250000000 1 22114 0,000003217982376 
250000000 1 22680 0,000006095503747 
250000000 1 22917 0,000015812867953 
250000000 1 18045 0,000015738007966 
250000000 1 18061 0,000061294518876 
250000000 1 18313 0,000030258031734 
250000000 1 18360 0,000022730639545 
250000000 1 18408 0,000008867607382 
250000000 1 18551 0,000009064698366 
250000000 1 18802 0,000027645344188 
250000000 1 18832 0,000003611674542 
250000000 1 33316 0,000078793923179 
250000000 1 36077 0,000000620573705 
250000000 1 36402 0,000011285228132 
250000000 1 37306 0,000022384318389 
250000000 1 37776 0,000074235725609 
250000000 1 37916 0,000044903845071 
250000000 1 38402 0,000014026774018 
250000000 1 38780 0,000010959278808 
250000000 1 34649 0,000073582292577 
250000000 1 35020 0,000023199191698 
250000000 1 37031 0,000073740174280 
250000000 1 37781 0,000057877143938 
250000000 1 38078 0,000037911213491 
250000000 1 38529 0,000062143508507 
250000000 1 39248 0,000051203834338 
250000000 1 39300 0,000009667201816 
2000000000 1 85442 0,000002668204039 
1000000000 1 51462 0,000002908585167 
1000000000 1 51477 0,000004324427541 
500000000 1 30807 0,000011359076025 
500000000 1 32930 0,000035949412499 
500000000 1 32993 0,000015875517837 
500000000 1 33010 0,000000106184929 
250000000 1 22473 0,000059077547683 
250000000 1 23014 0,000038055350706 
250000000 1 24892 0,000042761244063 
250000000 1 25316 0,000034836601137 
250000000 1 25470 0,000032509119249 
250000000 1 25565 0,000015644800333 
250000000 1 25652 0,000028616564815 
250000000 1 25683 0,000008254918015 
2000000000 1 119280 0,000022206440327 
2000000 1 78 0,000032896184070 
2000000 1 115 0,000634281337371 
2000000 1 95 0,000023762975670 
2000000 1 79 0,000971910348313 
2000000 1 79 0,000299003248920 
2000000 1 79 0,000165092565136 
2000000 1 79 0,000206693381927 
2000000 1 78 0,000610089786021 
2000000 1 83 0,000275864405528 
2000000 1 95 0,000464940477921 
1000000 1 47 0,000212422959878 
1000000 1 62 0,000193740454892 
1000000 1 31 0,000049448298152 
1000000 1 31 0,000455611712923 
1000000 1 62 0,000367758184336 
1000000 1 62 0,000183554538535 
1000000 1 54 0,000169548903542 
1000000 1 54 0,000214112287608 
1000000 1 47 0,000358845507523 
1000000 1 47 0,000007431393176 
1000000 1 47 0,000290090572107 
1000000 1 47 0,000026946074532 
1000000 1 47 0,000491262420175 
1000000 1 47 0,000809572306359 
1000000 1 42 0,000444152557020 
1000000 1 42 0,000038405230435 
1000000 1 47 0,000924579953570 
1000000 1 47 0,000966180770361 
1000000 1 32 0,000299419337105 
1000000 1 32 0,000431420161573 
500000 1 40 0,000715768668234 
500000 1 48 0,000743779938218 
500000 1 48 0,000376670861149 
500000 1 52 0,000786653994554 
500000 1 42 0,001367251226953 
500000 1 42 0,000708129230965 
500000 1 47 0,000572749751038 
500000 1 47 0,000094427770403 
500000 1 15 0,000975509535360 
500000 1 15 0,000942405307197 
500000 1 15 0,001115149797095 
500000 1 32 0,000975509535360 
500000 1 31 0,000636827816460 
500000 1 31 0,000733177933675 
500000 1 31 0,001754316048552 
500000 1 31 0,000068546891323 
500000 1 32 0,000585482146485 
500000 1 32 0,000315555363002 
500000 1 32 0,000343982721171 
500000 1 32 0,000909301079034 
500000 1 22 0,000300692576650 
500000 1 22 0,000127115910381 
500000 1 32 0,000007431393176 
500000 1 33 0,000147903831282 
500000 1 31 0,001586664516833 
500000 1 31 0,000626225811917 
500000 1 31 0,000249346906675 
500000 1 31 0,000702620184601 
500000 1 31 0,000425470052034 
500000 1 34 0,000715768668234 
500000 1 34 0,000147903831282 
500000 1 34 0,000743363850033 
500000 1 15 0,000840130055433 
500000 1 15 0,000346113112075 
500000 1 15 0,000346113112075 
500000 1 15 0,001031115987143 
500000 1 14 0,000104613686761 
500000 1 14 0,000211565808519 
500000 1 14 0,001540411805037 
500000 1 14 0,000032896184070 
